"comparison_run_date","database_name","workgroup","base_table_name","csv_table_name","parquet_table_name","csv_query_execution_id","parquet_query_execution_id","csv_status","parquet_status","csv_row_count","parquet_row_count","row_count_match","csv_data_scanned_bytes","parquet_data_scanned_bytes","scan_reduction_bytes","scan_reduction_percent","csv_engine_execution_millis","parquet_engine_execution_millis","comparison_status","comparison_note","csv_error_message","parquet_error_message"
"2026-06-16","retail_analytics_processed_dev","retail_analytics_dev","br_holidays","br_holidays","br_holidays_parquet","692261c8-d8a5-41e2-a16b-91095e5afee4","cfd8b3c8-0cc8-4e99-b8ff-f916c54f7249","SUCCEEDED","SUCCEEDED","42","42","True","7062","0","7062","100","400","404","PASS","CSV and Parquet queries succeeded and row counts matched.","",""
"2026-06-16","retail_analytics_processed_dev","retail_analytics_dev","olist_customers","olist_customers","olist_customers_parquet","a8fb0c9c-3628-4812-820a-adc6347e7576","f2f7ef27-d018-4be8-94f9-8f022869e756","SUCCEEDED","SUCCEEDED","99441","99441","True","15845497","0","15845497","100","483","489","PASS","CSV and Parquet queries succeeded and row counts matched.","",""
"2026-06-16","retail_analytics_processed_dev","retail_analytics_dev","olist_geolocation","olist_geolocation","olist_geolocation_parquet","96cb3b70-8211-488b-861f-ce0af9fa85fe","2f48815f-9085-4275-a669-692a9024a357","CANCELLED","SUCCEEDED",,"1000163","False","104857600","0",,,"673","553","WARN","CSV query failed or was blocked, but Parquet query succeeded. This is acceptable for optimization proof.","Bytes scanned limit was exceeded",""
"2026-06-16","retail_analytics_processed_dev","retail_analytics_dev","olist_order_items","olist_order_items","olist_order_items_parquet","d67e6797-bf1c-4d5a-8063-6d2a645c49fb","fb54929a-1ff4-486a-b65b-e287153dbbb6","SUCCEEDED","SUCCEEDED","112650","112650","True","23360365","0","23360365","100","604","478","PASS","CSV and Parquet queries succeeded and row counts matched.","",""
"2026-06-16","retail_analytics_processed_dev","retail_analytics_dev","olist_order_payments","olist_order_payments","olist_order_payments_parquet","2cd9cddb-31c6-4eb9-b05c-63a9a7f8006e","1d4c9a7f-2ea2-4b0a-95d7-fd7209c5ae4b","SUCCEEDED","SUCCEEDED","103886","103886","True","13736509","0","13736509","100","528","413","PASS","CSV and Parquet queries succeeded and row counts matched.","",""
"2026-06-16","retail_analytics_processed_dev","retail_analytics_dev","olist_order_reviews","olist_order_reviews","olist_order_reviews_parquet","c1cbecda-2ca5-423d-bd33-e3d8f01f4d5e","dfa36ede-bd21-4e79-8ccd-04c06f70c6dc","SUCCEEDED","SUCCEEDED","103079","99224","False","21580568","0","21580568","100","728","450","WARN","CSV and Parquet row counts differ. Likely CSV parsing limitation; Parquet is treated as the reliable analytics layer.","",""
"2026-06-16","retail_analytics_processed_dev","retail_analytics_dev","olist_orders","olist_orders","olist_orders_parquet","177ea24a-9b6c-4d1f-a2b0-7845e2f0d0aa","1b798ff0-6242-4354-b614-27a61fc79701","SUCCEEDED","SUCCEEDED","99441","99441","True","23472824","0","23472824","100","577","366","PASS","CSV and Parquet queries succeeded and row counts matched.","",""
"2026-06-16","retail_analytics_processed_dev","retail_analytics_dev","olist_product_category_translation","olist_product_category_translation","olist_product_category_translation_parquet","544962d2-33fc-47cb-9a5b-5523cc272e0c","afb988fa-65a7-462d-9c59-aef7d7a96d83","SUCCEEDED","SUCCEEDED","71","71","True","8472","0","8472","100","444","432","PASS","CSV and Parquet queries succeeded and row counts matched.","",""
"2026-06-16","retail_analytics_processed_dev","retail_analytics_dev","olist_products","olist_products","olist_products_parquet","affec1a8-ff8f-4585-a2a2-0302110195e9","6c0c15ef-61e3-49de-884e-32017fee69e5","SUCCEEDED","SUCCEEDED","32951","32951","True","5168441","0","5168441","100","458","389","PASS","CSV and Parquet queries succeeded and row counts matched.","",""
"2026-06-16","retail_analytics_processed_dev","retail_analytics_dev","olist_sellers","olist_sellers","olist_sellers_parquet","bae45558-9680-4dc8-af69-48087edbfecf","d4b49cf7-1769-427c-ac60-b94db3e81571","SUCCEEDED","SUCCEEDED","3095","3095","True","384401","0","384401","100","843","339","PASS","CSV and Parquet queries succeeded and row counts matched.","",""
"2026-06-16","retail_analytics_processed_dev","retail_analytics_dev","supplier_product_updates","supplier_product_updates","supplier_product_updates_parquet","4ce111b3-1b4b-48aa-b76e-65ac064509d3","de7136bb-f3d6-4ad7-92aa-53b0ceb39767","SUCCEEDED","SUCCEEDED","10","10","True","3648","0","3648","100","339","407","PASS","CSV and Parquet queries succeeded and row counts matched.","",""
