"upload_run_date","local_file","local_bytes","s3_bucket","s3_key","dry_run"
"2026-06-16","G:\retail-analytics-data-platform\data\processed\parquet\br_holidays\run_date=2026-06-16\part-00000-27a1bb48-cc17-4c0d-be9e-feb8c11dcc1c-c000.snappy.parquet","5371","retail-analytics-datalake-nasrin-dev-eu-central-1","processed/athena_parquet/G:/retail-analytics-data-platform/data/processed/parquet/br_holidays/run_date=2026-06-16/part-00000-27a1bb48-cc17-4c0d-be9e-feb8c11dcc1c-c000.snappy.parquet","False"
"2026-06-16","G:\retail-analytics-data-platform\data\processed\parquet\olist_customers\run_date=2026-05-26\part-00000-f6f435ce-e3d3-4c63-82a6-46d72c55af29-c000.snappy.parquet","6993978","retail-analytics-datalake-nasrin-dev-eu-central-1","processed/athena_parquet/G:/retail-analytics-data-platform/data/processed/parquet/olist_customers/run_date=2026-05-26/part-00000-f6f435ce-e3d3-4c63-82a6-46d72c55af29-c000.snappy.parquet","False"
"2026-06-16","G:\retail-analytics-data-platform\data\processed\parquet\olist_geolocation\run_date=2026-05-26\part-00000-c88acc7a-d3ed-4171-8180-1e7dd1420f1c-c000.snappy.parquet","25415578","retail-analytics-datalake-nasrin-dev-eu-central-1","processed/athena_parquet/G:/retail-analytics-data-platform/data/processed/parquet/olist_geolocation/run_date=2026-05-26/part-00000-c88acc7a-d3ed-4171-8180-1e7dd1420f1c-c000.snappy.parquet","False"
"2026-06-16","G:\retail-analytics-data-platform\data\processed\parquet\olist_orders\run_date=2026-05-26\part-00000-b406421d-2aa3-4a5d-82ee-66832f964647-c000.snappy.parquet","10449460","retail-analytics-datalake-nasrin-dev-eu-central-1","processed/athena_parquet/G:/retail-analytics-data-platform/data/processed/parquet/olist_orders/run_date=2026-05-26/part-00000-b406421d-2aa3-4a5d-82ee-66832f964647-c000.snappy.parquet","False"
"2026-06-16","G:\retail-analytics-data-platform\data\processed\parquet\olist_order_items\run_date=2026-05-26\part-00000-29be7e69-2bcb-4368-bf4c-615740ff12bf-c000.snappy.parquet","6790090","retail-analytics-datalake-nasrin-dev-eu-central-1","processed/athena_parquet/G:/retail-analytics-data-platform/data/processed/parquet/olist_order_items/run_date=2026-05-26/part-00000-29be7e69-2bcb-4368-bf4c-615740ff12bf-c000.snappy.parquet","False"
"2026-06-16","G:\retail-analytics-data-platform\data\processed\parquet\olist_order_payments\run_date=2026-05-26\part-00000-88373497-ae5e-4c28-a169-458dbe88a06c-c000.snappy.parquet","3849239","retail-analytics-datalake-nasrin-dev-eu-central-1","processed/athena_parquet/G:/retail-analytics-data-platform/data/processed/parquet/olist_order_payments/run_date=2026-05-26/part-00000-88373497-ae5e-4c28-a169-458dbe88a06c-c000.snappy.parquet","False"
"2026-06-16","G:\retail-analytics-data-platform\data\processed\parquet\olist_order_reviews\run_date=2026-05-26\part-00000-f89f076e-b199-4fd3-8746-4239c0abe73e-c000.snappy.parquet","9483300","retail-analytics-datalake-nasrin-dev-eu-central-1","processed/athena_parquet/G:/retail-analytics-data-platform/data/processed/parquet/olist_order_reviews/run_date=2026-05-26/part-00000-f89f076e-b199-4fd3-8746-4239c0abe73e-c000.snappy.parquet","False"
"2026-06-16","G:\retail-analytics-data-platform\data\processed\parquet\olist_products\run_date=2026-05-26\part-00000-3d9c47d0-5bb2-4031-984e-4a0c4d0843ed-c000.snappy.parquet","1370340","retail-analytics-datalake-nasrin-dev-eu-central-1","processed/athena_parquet/G:/retail-analytics-data-platform/data/processed/parquet/olist_products/run_date=2026-05-26/part-00000-3d9c47d0-5bb2-4031-984e-4a0c4d0843ed-c000.snappy.parquet","False"
"2026-06-16","G:\retail-analytics-data-platform\data\processed\parquet\olist_product_category_translation\run_date=2026-05-26\part-00000-00391994-ee84-48ee-a501-94e690bfb520-c000.snappy.parquet","4469","retail-analytics-datalake-nasrin-dev-eu-central-1","processed/athena_parquet/G:/retail-analytics-data-platform/data/processed/parquet/olist_product_category_translation/run_date=2026-05-26/part-00000-00391994-ee84-48ee-a501-94e690bfb520-c000.snappy.parquet","False"
"2026-06-16","G:\retail-analytics-data-platform\data\processed\parquet\olist_sellers\run_date=2026-05-26\part-00000-7850fa87-a8f5-4bb0-9f6f-2734ce833c64-c000.snappy.parquet","132271","retail-analytics-datalake-nasrin-dev-eu-central-1","processed/athena_parquet/G:/retail-analytics-data-platform/data/processed/parquet/olist_sellers/run_date=2026-05-26/part-00000-7850fa87-a8f5-4bb0-9f6f-2734ce833c64-c000.snappy.parquet","False"
"2026-06-16","G:\retail-analytics-data-platform\data\processed\parquet\supplier_product_updates\run_date=2026-06-01\part-00000-3287a895-9a24-4b95-a7c0-e9253cab97bf-c000.snappy.parquet","10691","retail-analytics-datalake-nasrin-dev-eu-central-1","processed/athena_parquet/G:/retail-analytics-data-platform/data/processed/parquet/supplier_product_updates/run_date=2026-06-01/part-00000-3287a895-9a24-4b95-a7c0-e9253cab97bf-c000.snappy.parquet","False"
